PID,Retalhista,Nome,Marca,Marca_Padronizada,Quantidade,Formato
39238,PingoDoce,Gelado Morango Pingo Doce 1000 ml,Pingo Doce,Pingo Doce,"1 L | 2,74 €/L",Tubs
622768,PingoDoce,Tarte Gelada Nata e Morango,Pingo Doce,Pingo Doce,"1 L | 2,49 €/L",Cakes
1002634,PingoDoce,Gelados Cornetto de Limão,Cornetto,Cornetto,"0.54 L | 6,46 €/L",Cones
888023,PingoDoce,Gelados Chocolate Collection Mini Pack 4,Häagen-Dazs,Häagen-Dazs,"0.38 L | 21,03 €/L",Cups
971642,PingoDoce,Gelado Rol,Olá,Olá,"0.36 L | 8,31 €/L",Sticks
910855,PingoDoce,Gelado Proteína Caramelo Salgado,Go Active,Go Active,"0.5 L | 6,58 €/L",Pints
990452,PingoDoce,Gelado Geláticos,Pingo Doce,Pingo Doce,"0.342 L | 8,16 €/L",Sticks
990451,PingoDoce,Gelado Mini Sandwich de Nata,Pingo Doce,Pingo Doce,"0.6 L | 3,98 €/L",Sandwich
775908,PingoDoce,Gelado Cone de Morango,Cornetto,Cornetto,"0.54 L | 6,46 €/L",Cones
878028,PingoDoce,Gelado Cookies & Cream,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
972817,PingoDoce,Gelado Cone Brigadeiro,Cornetto,Cornetto,"0.48 L | 12,48 €/L",Cones
990500,PingoDoce,Gelado Cone Perna de Pau,Olá,Olá,"0.36 L | 8,31 €/L",Cones
1005458,PingoDoce,"Gelado de Chocolate, Morango e Baunilha",Carte D'Or,Carte D'Or,"1.3 L | 2,3 €/L",Tubs
878027,PingoDoce,Gelado de Macadâmia,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
878029,PingoDoce,Gelado Praliné & Cream,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
971695,PingoDoce,Gelado Chocolate Branco e Morango,Magnum,Magnum,"0.4 L | 9,98 €/L",Sticks
656612,PingoDoce,Gelado Menta e Chocolate,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
775524,PingoDoce,Gelado Cone Clássico,Cornetto,Cornetto,"0.54 L | 6,46 €/L",Cones
992500,PingoDoce,Gelado Vegan Caramelo e Brownie,Swee,Swee,"0.23 Kg | 29,52 €/Kg",Pints
974640,PingoDoce,"Gelado Chocolate Clássico, Amêndoa e Chocolate Branco",Magnum,Magnum,"0.8 L | 7,49 €/L",Sticks
419521,PingoDoce,Gelado Seleção Caramelo,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
821647,PingoDoce,Gelados Mini Majestic Amêndoas,Pingo Doce,Pingo Doce,"0.48 L | 6,85 €/L",Sticks
878025,PingoDoce,Gelado de Caramelo Salgado,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
923201,PingoDoce,Gelado Double Gold Caramel Billionaire,Magnum,Magnum,"0.33 L | 21,18 €/L",Sticks
658098,PingoDoce,Gelados Cones Morango,Pingo Doce,Pingo Doce,"0.72 L | 3,74 €/L",Cones
971117,PingoDoce,Gelado Chocolate Brownie Les Desserts,Carte D'Or,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
